Accession ID,PMID,curated,uncurated 1,uncurated 2,r code,has early stage?,has refractory?,who checked?,comments,Levi comments,Ben's comments - ready to use?,platform_title,citation,Accession ID,download RAW,download PROCESSED,(f)RMA,default eset,sample_history,sample_handling,sample_type,sample_preservation,platform_manufacturer,platform_distribution,platform_accession,technology_type,geneSigDB_signatures,PubDate.Year,Title
GSE26712,18593951,curated,uncurated,x,src,no,no,,"normals annotated as ""ser"", should fix (victoria)",.CEL filenames problem,yes,[HG-U133A] Affymetrix Human Genome U133A Array,"Birrer,         A Gene Signature Predicting for Survival in Suboptimally Debulked Patients with Ovarian Cancer ",GSE26712,ok,ok,FIXME,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,,2011,A Gene Signature Predicting for Survival in Suboptimally Debulked Patients with Ovarian Cancer
GSE6008,19440550,curated,uncurated,x,src,yes,no,,"ctnnb1 mutation, apc mutation, pten mutation, pten immunohistochemistry data is available for this study in the uncurated.",,yes,[HG-U133A] Affymetrix Human Genome U133A Array,"Murph MM, Liu W, Yu S, Lu Y, Hall H, Hennessy BT, Lahad J, Schaner M, Helland A, Kristensen G, BÃƒÂ¸rresen-Dale AL, Mills GB.Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis. PLoS One. 2009; 4(5):e5583.",GSE6008,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,1,2009,Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis.
GSE6822,,curated,uncurated,uncurated supp,src,no,no,,,,yes - not on Gayatry's list though,[Hu6800] Affymetrix Human Full Length HuGeneFL Array,"Novak JP, Ouellet V, Le Page C, Martinu K, Ponton A, Bachvarow DD, Filali-Mouhim A, Provencher DM, Tonin PN, Hudson TJ, Mes-Masson A",GSE6822,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL80,in situ oligonucleotide,,2007,Classification of ovarian tumor samples
GSE8842,19047114,curated,uncurated,x,src,yes,no,,,,yes,Agilent Human 1 cDNA Microarray (G4100A),"Marchini S, Mariani P, Chiorino G, Marrazzo E, Bonomi R, Fruscio R, Clivio L, Garbi A, Torri V, Cinquini M, Dell'Anna T, Apolone G, Broggini M, D'Incalci M.Analysis of gene expression in early-stage ovarian cancer. Clin Cancer Res. 2008 Dec 1; 14(23):7850-60. ",GSE8842,ok,ok,NA,ok,NA,NA,primary_tissues,FF,Agilent,custom-commerical,GPL5689,spotted DNA/cDNA,,2008,Analysis of gene expression in early-stage ovarian cancer.
GSE9891,18698038,curated,uncurated,uncurated supp,src,yes,probably,,,,yes,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,"Tothill RW, Tinker AV, George J, Brown R, Fox SB, Lade S, Johnson DS, Trivett MK, Etemadmoghadam D, Locandro B, Traficante N, Fereday S, Hung JA, Chiew YE, Haviv I, Gertig D, DeFazio A, Bowtell DD.Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome. Clin Cancer Res. 2008 Aug 15; 14(16):5198-208. ",GSE9891,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL570,in situ oligonucleotide,,2008,Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome.
PMID14706684,14706684,curated,uncurated,x,src,no,no,,,,yes,HU6800,"Lancaster JM, Dressman HK, Whitaker RS, Havrilesky L, Gray J, Marks JR, Nevins JR, Berchuck A.Gene expression patterns that characterize advanced stage serous ovarian cancers. J Soc Gynecol Investig. 2004 Jan; 11(1):51-9. ",PMID14706684,ok,ok,unfinished,unfinished,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL80,in situ oligonucleotide,,2004,Gene expression patterns that characterize advanced stage serous ovarian cancers.
PMID15897565,15897565,curated,uncurated,x,src,yes,no,,only 2 samples also in Dressman 2007?,,yes,HG-U133A,"Berchuck A, Iversen ES, Lancaster JM, Pittman J, Luo J, Lee P, Murphy S, Dressman HK, Febbo PG, West M, Nevins JR, Marks JR.Patterns of gene expression that characterize long-term survival in advanced stage serous ovarian cancers. Clin Cancer Res. 2005 May 15; 11(10):3686-96. ",PMID15897565,unfinished,unfinished,unfinished,NA,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,,2005,Patterns of gene expression that characterize long-term survival in advanced stage serous ovarian cancers.
PMID19318476,19318476,curated,uncurated,x,src,very small sample size for early stage,,levi - done,"samples contained in Dressman 2007, so don't use",,yes,HG-U133A,"Berchuck A, Iversen ES, Luo J, Clarke JP, Horne H, Levine DA, Boyd J, Alonso MA, Secord AA, Bernardini MQ, Barnett JC, Boren T, Murphy SK, Dressman HK, Marks JR, Lancaster JM.Microarray analysis of early stage serous ovarian cancers shows profiles predictive of favorable outcome. Clin Cancer Res. 2009 Apr 1; 15(7):2448-55. ",PMID19318476,ok,ok,ok,NA,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,1,2009,Microarray analysis of early stage serous ovarian cancers shows profiles predictive of favorable outcome.
PMID17290060,17290060,curated,uncurated,x,src,very small sample size for early stage,yes,,,,yes,HG-U133A,"Dressman HK, Berchuck A, Chan G, Zhai J, Bild A, Sayer R, Cragun J, Clarke J, Whitaker RS, Li L, Gray J, Marks J, Ginsburg GS, Potti A, West M, Nevins JR, Lancaster JM.An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer. J Clin Oncol. 2007 Feb 10; 25(5):517-25. ",PMID17290060,ok,ok,ok,NA,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,,2007,An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer.

